Date,Device,Region,VisitorType,AddToCart,Checkout,PaymentSuccess,Revenue
2023-04-13,Mobile,Latin America,Returning_Visitor,True,True,True,26.17683221030562
2024-03-11,Mobile,Europe,Returning_Visitor,True,True,True,45.758515747689756
2023-09-28,Mobile,Asia,New_Visitor,True,True,False,0.0
2023-04-17,Desktop,Latin America,Returning_Visitor,False,False,False,0.0
2023-03-13,Mobile,Latin America,Returning_Visitor,True,True,True,125.17903549049682
2024-12-01,Desktop,Latin America,New_Visitor,True,True,True,28.045097047469188
2023-01-21,Mobile,Asia,Returning_Visitor,True,True,False,0.0
2025-02-25,Mobile,Europe,New_Visitor,False,False,False,0.0
2025-02-25,Desktop,Europe,Returning_Visitor,True,True,True,179.68700639016586
2024-04-11,Mobile,North America,Returning_Visitor,False,False,False,0.0
2023-08-03,Desktop,Asia,Returning_Visitor,True,True,False,0.0
2023-11-27,Mobile,Europe,Returning_Visitor,True,True,True,92.99913853437383
2024-04-03,Mobile,Europe,New_Visitor,True,True,False,0.0
2023-03-29,Mobile,Asia,New_Visitor,True,True,True,155.3835540550821
2024-01-08,Mobile,Latin America,Returning_Visitor,True,False,False,0.0
2023-04-10,Mobile,Latin America,New_Visitor,False,False,False,0.0
2024-10-25,Mobile,Latin America,New_Visitor,True,False,False,0.0
2023-05-11,Mobile,Latin America,New_Visitor,False,False,False,0.0
2024-10-23,Mobile,Asia,New_Visitor,True,True,True,170.1560741355891
2023-11-05,Mobile,Latin America,Returning_Visitor,True,True,True,29.920909212429045
2025-02-08,Mobile,Asia,Returning_Visitor,True,True,True,26.789735484639664
2023-12-10,Desktop,Latin America,New_Visitor,True,True,False,0.0
2024-05-06,Mobile,Latin America,New_Visitor,True,True,True,56.42537500337415
2024-02-18,Desktop,Latin America,New_Visitor,False,False,False,0.0
2024-01-21,Desktop,North America,New_Visitor,True,True,True,32.89100405804246
2023-07-11,Mobile,Europe,New_Visitor,True,True,True,75.09016869223652
2025-02-25,Mobile,Europe,New_Visitor,False,False,False,0.0
2025-02-25,Mobile,Europe,Returning_Visitor,False,False,False,0.0
2024-04-04,Mobile,Europe,Returning_Visitor,False,False,False,0.0
2025-02-25,Mobile,Europe,New_Visitor,True,True,False,0.0
2023-01-22,Mobile,North America,Returning_Visitor,True,True,False,0.0
2023-09-10,Mobile,Asia,Returning_Visitor,True,True,True,57.5091858585152
2025-01-17,Mobile,Asia,New_Visitor,True,True,True,32.87486949845729
2025-02-25,Mobile,Europe,New_Visitor,False,False,False,0.0
2024-04-19,Mobile,Asia,Returning_Visitor,False,False,False,0.0
2023-02-28,Mobile,Asia,New_Visitor,True,False,False,0.0
2024-05-25,Mobile,Asia,Returning_Visitor,True,False,False,0.0
2024-11-12,Mobile,Latin America,Returning_Visitor,True,True,False,0.0
2024-04-20,Mobile,Europe,New_Visitor,True,True,True,115.67022832754932
2024-11-30,Mobile,Europe,Returning_Visitor,True,False,False,0.0
2025-02-25,Mobile,North America,Returning_Visitor,True,True,True,188.17750902595108
2023-07-09,Mobile,Europe,New_Visitor,False,False,False,0.0
2023-02-25,Mobile,Asia,New_Visitor,True,False,False,0.0
2024-07-16,Mobile,North America,Returning_Visitor,False,False,False,0.0
2024-07-20,Mobile,North America,Returning_Visitor,True,True,True,133.7074748106958
2023-02-25,Mobile,Europe,Returning_Visitor,False,False,False,0.0
2024-05-19,Mobile,North America,Returning_Visitor,True,True,False,0.0
2023-05-11,Mobile,Asia,New_Visitor,True,True,True,69.64679443429878
2024-04-29,Mobile,Asia,New_Visitor,False,False,False,0.0
2024-10-08,Desktop,Europe,New_Visitor,False,False,False,0.0
2023-01-21,Mobile,Europe,New_Visitor,False,False,False,0.0
2025-02-25,Mobile,Europe,Returning_Visitor,False,False,False,0.0
2023-10-01,Mobile,Europe,Returning_Visitor,False,False,False,0.0
2024-01-23,Mobile,Latin America,Returning_Visitor,True,True,False,0.0
2023-02-25,Mobile,Europe,Returning_Visitor,True,True,False,0.0
2023-11-12,Mobile,Asia,New_Visitor,True,True,False,0.0
2023-01-14,Mobile,Latin America,New_Visitor,False,False,False,0.0
2023-08-30,Mobile,Europe,New_Visitor,True,True,True,78.06719069030225
2025-02-15,Mobile,North America,Returning_Visitor,True,False,False,0.0
